Issue Type,Issue key,Issue id,Summary,Status,Labels,Reporter,Resolved,Resolution,Assignee,Created,Custom field (BUH real date),Custom field (BUH Total amount with VAT),Custom field (Accountant),Custom field (BUH Payment Currency),Custom field (BUH ID Income/Consumption),Custom field (BUH Act Date),Custom field (BUH Company),Custom field (BUH CFO / Budget Item)
Подготовка актов и счетов,BUH-115114,1231807,Выставление актов: VISAUAE2500031,Closed,,anastasiya.pisareva,27.03.2026 10:13,Исправлено/Выполнено,n.chubukinasolovey,10.02.2026 14:43,26.03.2026 00:00,,n.chubukinasolovey,,D_VISAUAE2500026/4,11.02.2026 00:00,DBFZ - Databorn FZ LLC,
Подготовка актов и счетов,BUH-114952,1230468,Выставление актов: VISAUAE2500028,Closed,,aleksandr.prilepskiy,20.03.2026 09:45,Исправлено/Выполнено,n.chubukinasolovey,06.02.2026 13:18,19.03.2026 00:00,,n.chubukinasolovey,,D_VISAUAE2500028/4,09.02.2026 00:00,DBFZ - Databorn FZ LLC,
Подготовка актов и счетов,BUH-114893,1229876,Выставление актов: CBQ2500003 Arustamyan,Closed,,aleksandr.prilepskiy,09.04.2026 09:55,Исправлено/Выполнено,n.chubukinasolovey,05.02.2026 12:27,08.04.2026 00:00,,n.chubukinasolovey,,D_CBQ2500006/3,30.01.2026 00:00,DBFZ - Databorn FZ LLC,
Подготовка актов и счетов,BUH-114876,1229695,Выставление актов: CBQ2500003 Putilov,Closed,,anastasiya.bardina,09.04.2026 09:52,Исправлено/Выполнено,n.chubukinasolovey,04.02.2026 19:13,08.04.2026 00:00,,n.chubukinasolovey,,D_CBQ2500003/3,30.01.2026 00:00,DBFZ - Databorn FZ LLC,
Подготовка актов и счетов,BUH-114875,1229690,Выставление актов: CBQ2500003 Lizunova,Closed,,anastasiya.bardina,09.04.2026 09:53,Исправлено/Выполнено,n.chubukinasolovey,04.02.2026 19:09,08.04.2026 00:00,,n.chubukinasolovey,,D_CBQ2500004/3,30.01.2026 00:00,DBFZ - Databorn FZ LLC,
Подготовка актов и счетов,BUH-114874,1229686,Выставление актов : CBQ2500003 Drilenok,Closed,,anastasiya.bardina,09.04.2026 09:55,Исправлено/Выполнено,n.chubukinasolovey,04.02.2026 19:03,08.04.2026 00:00,,n.chubukinasolovey,,D_CBQ2500005/3,30.01.2026 00:00,DBFZ - Databorn FZ LLC,
Подготовка актов и счетов,BUH-114833,1229242,Выставление актов: YKVUAE2600009,Waiting for Pay,,anastasiya.pisareva,,,mariya.saveleva,04.02.2026 11:20,,,mariya.saveleva,,D_YKVUAE2600021/1,03.02.2026 00:00,DBAD - Databorn FZ LLC Abu Dhabi,
Подготовка актов и счетов,BUH-114782,1228730,Выставление актов: проценты по займу за январь 2026 - ADM-51574,Waiting for Pay,отправлено,mariya.saveleva,,,,03.02.2026 13:41,,,mariya.saveleva,,-,31.01.2026 00:00,DBFZ - Databorn FZ LLC,
Подготовка актов и счетов,BUH-114718,1227472,Выставление актов: VISAUAE2500029,Closed,,aleksandr.bryukhanov,13.03.2026 10:18,Исправлено/Выполнено,mariya.saveleva,02.02.2026 11:42,12.03.2026 00:00,,mariya.saveleva,,D_VISAUAE2500029/2,03.02.2026 00:00,DBFZ - Databorn FZ LLC,
Подготовка актов и счетов,BUH-114708,1227325,Выставление актов: MBANK2500005 Заказ 5 (Методология КД),Closed,ВГ,eva.ziyangirova,29.04.2026 10:07,Исправлено/Выполнено,mariya.saveleva,02.02.2026 10:11,28.04.2026 00:00,,mariya.saveleva,,D_MBANK2600009/5,30.01.2026 00:00,DBFZ - Databorn FZ LLC,
Подготовка актов и счетов,BUH-114707,1227319,Выставление актов: MBANK2500005 Заказ 4 (Работы STAR),Closed,ВГ,eva.ziyangirova,29.04.2026 10:07,Исправлено/Выполнено,n.chubukinasolovey,02.02.2026 10:08,28.04.2026 00:00,,n.chubukinasolovey,,D_MBANK2600007/4,30.01.2026 00:00,DBFZ - Databorn FZ LLC,
Подготовка актов и счетов,BUH-114706,1227314,Выставление актов: MBANK2500005 Заказ 3 (Работы STAR),Closed,ВГ,eva.ziyangirova,29.04.2026 10:06,Исправлено/Выполнено,n.chubukinasolovey,02.02.2026 10:06,28.04.2026 00:00,,n.chubukinasolovey,,D_MBANK2600006/3,30.01.2026 00:00,DBFZ - Databorn FZ LLC,
Подготовка актов и счетов,BUH-114703,1227310,Выставление актов: MBANK2500005 Заказ 2 (Шина данных),Closed,ВГ,eva.ziyangirova,29.04.2026 10:06,Исправлено/Выполнено,n.chubukinasolovey,02.02.2026 10:00,28.04.2026 00:00,,n.chubukinasolovey,,D_MBANK2600008/2,30.01.2026 00:00,DBFZ - Databorn FZ LLC,
Подготовка актов и счетов,BUH-114702,1227306,Выставление актов: MBANK2500005 Заказ 1 (Установка GP),Closed,ВГ,eva.ziyangirova,29.04.2026 10:06,Исправлено/Выполнено,n.chubukinasolovey,02.02.2026 09:56,28.04.2026 00:00,,n.chubukinasolovey,,D_MBANK2600010/1,30.01.2026 00:00,DBFZ - Databorn FZ LLC,
Подготовка актов и счетов,BUH-114635,1226401,Выставление актов: YKVUAE2500008,Waiting for Pay,,sofiya.adzhiniyazova,,,n.chubukinasolovey,30.01.2026 12:05,,,n.chubukinasolovey,,D_YKVUAE2500014/4,30.01.2026 00:00,DBAD - Databorn FZ LLC Abu Dhabi,
Подготовка актов и счетов,BUH-114158,1221056,Выставление актов: FTST2500004,Closed,,mariya.bunkova,23.01.2026 18:29,Исправлено/Выполнено,mariya.saveleva,20.01.2026 17:18,30.12.2025 00:00,,mariya.saveleva,,D_FTST2500005/1,16.01.2026 00:00,DBFZ - Databorn FZ LLC,
Подготовка актов и счетов,BUH-114156,1221052,Выставление актов: ASTR2500004,Closed,,mariya.bunkova,25.01.2026 19:25,Исправлено/Выполнено,mariya.saveleva,20.01.2026 17:16,02.01.2026 00:00,,mariya.saveleva,,D_ASTR2500005/1,23.01.2026 00:00,DBFZ - Databorn FZ LLC,
